SN,Pass/Fail,errStr,StartTime,EndTime,TestTime,Pre Test,Test Point1,Test Point2,Test Point3,Test Point4,Test Point5,Test Point6,Post Test
Function,,,,,,pre_test,test_point1,test_point2,test_point3,test_point4,test_point5,test_point5,post_test
Mode,,,,,,test,test,test,test,test,test,test,test
Lower Limit,,,,,,-1,-1,-1,-1,-1,-1,-1,-1
Upper Limit,,,,,,1,1,1,1,1,1,1,1
12345678,Fail,no error,2017-12-15 09:58:33,2017-12-15 09:58:36,3.6,0.5,10,0,0.5,0.5,0.5,0.5,0.9
12345678,Fail,no error,2017-12-15 12:26:58,2017-12-15 12:27:15,16.7,0,1,1,0.5,0.5,0.5,0.5,0.9
12345678,Fail,no error,2017-12-15 16:04:24,2017-12-15 16:05:09,44.86,1,1,1,0.5,0.5,0.5,0.5,0.9
12345678,Fail,no error,2017-12-15 16:30:50,2017-12-15 16:31:00,9.850000000000001,1,1,1,0.5,0.5,0.5,0.5,0.9
12345678,Fail,no error,2017-12-15 16:31:12,2017-12-15 16:31:22,9.500000000000002,1,1,1,0.5,0.5,0.5,0.5,0.9
12345678,Fail,no error,2017-12-15 16:31:56,2017-12-15 16:32:06,10.05,1,1,1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-15 16:33:43,2017-12-15 16:33:46,2.8899999999999997,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-15 16:36:37,2017-12-15 16:36:41,3.57,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-15 16:39:29,2017-12-15 16:39:35,5.87,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-15 16:39:47,2017-12-15 16:39:53,6.28,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-15 16:40:06,2017-12-15 16:40:12,6.3500000000000005,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-15 16:40:36,2017-12-15 16:40:43,6.499999999999999,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-15 16:41:59,2017-12-15 16:42:05,6.28,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-15 16:42:17,2017-12-15 16:42:24,6.27,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
