SN,Pass/Fail,errStr,StartTime,EndTime,TestTime,Pre Test,Test Point1,Test Point2,Test Point3,Test Point4,Test Point5,Test Point6,Post Test
Function,,,,,,pre_test,test_point1,test_point2,test_point3,test_point4,test_point5,test_point5,post_test
Mode,,,,,,test,test,test,test,test,test,test,test
Lower Limit,,,,,,-1,-1,-1,-1,-1,-1,-1,-1
Upper Limit,,,,,,1,1,1,1,1,1,1,1
12345678,Pass,no error,2017-12-19 10:01:10,2017-12-19 10:01:20,9.6,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-19 10:01:33,2017-12-19 10:01:45,11.519999999999998,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-19 10:01:58,2017-12-19 10:02:07,8.34,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-19 10:02:26,2017-12-19 10:02:36,9.68,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-19 11:04:58,2017-12-19 11:13:09,490.96,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-19 11:14:25,2017-12-19 11:14:34,9.219999999999999,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-19 12:07:39,2017-12-19 12:07:48,9.229999999999999,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-19 12:08:06,2017-12-19 12:08:16,10.24,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Pass,no error,2017-12-19 12:08:31,2017-12-19 12:08:42,11.27,0.2,0.2,0.1,0.5,0.5,0.5,0.5,0.9
12345678,Fail,no error,2017-12-19 17:21:33,2017-12-19 17:21:44,11.119999999999997,0.2,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9
12345678,Fail,no error,2017-12-19 17:42:11,2017-12-19 17:42:26,14.899999999999999,0.2,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9
12345678,Fail,no error,2017-12-19 17:45:34,2017-12-19 17:45:50,16.07,0.2,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9
12345678,Fail,no error,2017-12-19 17:46:20,2017-12-19 17:46:35,15.67,0.2,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9
12345678,Fail,no error,2017-12-19 17:53:23,2017-12-19 17:53:34,11.29,0.2,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,nan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9
